id,name,description
1,stench,Helps repel wild POKéMON.
2,drizzle,Summons rain in battle.
3,speed-boost,Gradually boosts SPEED.
4,battle-armor,Blocks critical hits.
5,sturdy,Negates 1-hit KO attacks.
6,damp,Prevents self-destruction.
7,limber,Prevents paralysis.
8,sand-veil,Ups evasion in a sandstorm.
9,static,Paralyzes on contact.
10,volt-absorb,Turns electricity into HP.
11,water-absorb,Changes water into HP.
12,oblivious,Prevents attraction.
13,cloud-nine,Negates weather effects.
14,compound-eyes,Raises accuracy.
15,insomnia,Prevents sleep.
16,color-change,Changes type to foe’s move.
17,immunity,Prevents poisoning.
18,flash-fire,Powers up if hit by fire.
19,shield-dust,Prevents added effects.
20,own-tempo,Prevents confusion.
21,suction-cups,Firmly anchors the body.
22,intimidate,Lowers the foe’s ATTACK.
23,shadow-tag,Prevents the foe’s escape.
24,rough-skin,Hurts to touch.
25,wonder-guard,“Super effective” hits.
26,levitate,Not hit by GROUND attacks.
27,effect-spore,Leaves spores on contact.
28,synchronize,Passes on status problems.
29,clear-body,Prevents ability reduction.
30,natural-cure,Heals upon switching out.
31,lightning-rod,Draws electrical moves.
32,serene-grace,Promotes added effects.
33,swift-swim,Raises SPEED in rain.
34,chlorophyll,Boosts the Pokémon’s Speed in sunshine.
35,illuminate,Encounter rate increases.
36,trace,Copies special ability.
37,huge-power,Raises ATTACK.
38,poison-point,Poisons foe on contact.
39,inner-focus,Prevents flinching.
40,magma-armor,Prevents freezing.
41,water-veil,Prevents burns.
42,magnet-pull,Traps STEEL-type POKéMON.
43,soundproof,Avoids sound-based moves.
44,rain-dish,Slight HP recovery in rain.
45,sand-stream,Summons a sandstorm.
46,pressure,Raises foe’s PP usage.
47,thick-fat,Heat-and-cold protection.
48,early-bird,Awakens quickly from sleep.
49,flame-body,Burns the foe on contact.
50,run-away,Enables a sure getaway from wild Pokémon.
51,keen-eye,Prevents loss of accuracy.
52,hyper-cutter,Prevents ATTACK reduction.
53,pickup,May pick up items.
54,truant,Moves only every two turns.
55,hustle,Trades accuracy for power.
56,cute-charm,Infatuates on contact.
57,plus,Powers up with MINUS.
58,minus,Powers up with PLUS.
59,forecast,Changes with the weather.
60,sticky-hold,Prevents item theft.
61,shed-skin,Heals the body by shedding.
62,guts,Ups ATTACK if suffering.
63,marvel-scale,Ups DEFENSE if suffering.
64,liquid-ooze,Draining causes injury.
65,overgrow,Ups GRASS moves in a pinch.
66,blaze,Ups FIRE moves in a pinch.
67,torrent,Ups WATER moves in a pinch.
68,swarm,Ups BUG moves in a pinch.
69,rock-head,Prevents recoil damage.
70,drought,Summons sunlight in battle.
71,arena-trap,Prevents fleeing.
72,vital-spirit,Prevents sleep.
73,white-smoke,Prevents ability reduction.
74,pure-power,Raises ATTACK.
75,shell-armor,Blocks critical hits.
76,air-lock,Negates weather effects.
77,tangled-feet,Raises evasion if the Pokémon is confused.
78,motor-drive,Raises Speed if hit by an Electric-type move.
79,rivalry,Raises Attack if the foe is of the same gender.
80,steadfast,Raises Speed each time the Pokémon flinches.
81,snow-cloak,Raises evasion in a hailstorm.
82,gluttony,Encourages the early use of a held Berry.
83,anger-point,Raises Attack upon taking a critical hit.
84,unburden,Raises Speed if a held item is used.
85,heatproof,Weakens the power of Fire-type moves.
86,simple,The Pokémon is prone to wild stat changes.
87,dry-skin,Reduces HP if it is hot. Water restores HP.
88,download,Adjusts power according to the foe’s ability.
89,iron-fist,Boosts the power of punching moves.
90,poison-heal,Restores HP if the Pokémon is poisoned.
91,adaptability,Powers up moves of the same type.
92,skill-link,Increases the frequency of multi-strike moves.
93,hydration,Heals status problems if it is raining.
94,solar-power,"Boosts Sp. Atk, but lowers HP in sunshine."
95,quick-feet,Boosts Speed if there is a status problem.
96,normalize,All the Pokémon’s moves become the Normal type.
97,sniper,Powers up moves if they become critical hits.
98,magic-guard,The Pokémon only takes damage from attacks.
99,no-guard,Ensures the Pokémon and its foe’s attacks land.
100,stall,The Pokémon moves after even slower foes.
101,technician,Powers up the Pokémon’s weaker moves.
102,leaf-guard,Prevents status problems in sunny weather.
103,klutz,The Pokémon can’t use any held items.
104,mold-breaker,Moves can be used regardless of abilities.
105,super-luck,Heightens the critical-hit ratios of moves.
106,aftermath,Damages the foe landing the finishing hit.
107,anticipation,Senses the foe’s dangerous moves.
108,forewarn,Determines what moves the foe has.
109,unaware,Ignores any change in ability by the foe.
110,tinted-lens,Powers up “not very effective” moves.
111,filter,Powers down super­ effective moves.
112,slow-start,Temporarily halves Attack and Speed.
113,scrappy,Enables moves to hit Ghost-type foes.
114,storm-drain,The Pokémon draws in all Water-type moves.
115,ice-body,The Pokémon regains HP in a hailstorm.
116,solid-rock,Powers down super­ effective moves.
117,snow-warning,The Pokémon summons a hailstorm in battle.
118,honey-gather,The Pokémon may gather Honey from somewhere.
119,frisk,The Pokémon can check the foe’s held item.
120,reckless,Powers up moves that have recoil damage.
121,multitype,Changes type to match the held Plate.
122,flower-gift,Powers up party Pokémon when it is sunny.
123,bad-dreams,Reduces a sleeping foe’s HP.
124,pickpocket,Steals an item when hit by another Pokémon.
125,sheer-force,Removes added effects to increase move damage.
126,contrary,Makes stat changes have an opposite effect.
127,unnerve,Makes the foe nervous and unable to eat Berries.
128,defiant,When its stats are lowered its Attack increases.
129,defeatist,Lowers stats when HP becomes half or less.
130,cursed-body,May disable a move used on the Pokémon.
131,healer,May heal an ally’s status conditions.
132,friend-guard,Reduces damage done to allies.
133,weak-armor,Physical attacks lower Defense and raise Speed.
134,heavy-metal,Doubles the Pokémon’s weight.
135,light-metal,Halves the Pokémon’s weight.
136,multiscale,Reduces damage when HP is full.
137,toxic-boost,Powers up physical attacks when poisoned.
138,flare-boost,Powers up special attacks when burned.
139,harvest,May create another Berry after one is used.
140,telepathy,Anticipates an ally’s attack and dodges it.
141,moody,Raises one stat and lowers another.
142,overcoat,Protects the Pokémon from damage from weather.
143,poison-touch,May poison targets when a Pokémon makes contact.
144,regenerator,Restores a little HP when withdrawn from battle.
145,big-pecks,Protects the Pokémon from Defense-lowering attacks.
146,sand-rush,Boosts the Pokémon’s Speed in a sandstorm.
147,wonder-skin,Makes status-changing moves more likely to miss.
148,analytic,Boosts move power when the Pokémon moves last.
149,illusion,Comes out disguised as the Pokémon in back.
150,imposter,It transforms itself into the Pokémon it is facing.
151,infiltrator,Passes through the foe’s barrier and strikes.
152,mummy,Contact with this Pokémon spreads this Ability.
153,moxie,Boosts Attack after knocking out any Pokémon.
154,justified,Raises Attack when hit by a Dark-type move.
155,rattled,Some move types scare it and boost its Speed.
156,magic-bounce,Reflects status- changing moves.
157,sap-sipper,Boosts Attack when hit by a Grass-type move.
158,prankster,Gives priority to a status move.
159,sand-force,Boosts certain moves’ power in a sandstorm.
160,iron-barbs,Inflicts damage to the Pokémon on contact.
161,zen-mode,Changes the Pokémon’s shape when HP is halved.
162,victory-star,Boosts the accuracy of its allies and itself.
163,turboblaze,Moves can be used regardless of Abilities.
164,teravolt,Moves can be used regardless of Abilities.
165,aroma-veil,Protects allies from attacks that limit their move choices.
166,flower-veil,Prevents lowering of ally Grass-type Pokémon’s stats.
167,cheek-pouch,Restores HP as well when the Pokémon eats a Berry.
168,protean,Changes the Pokémon’s type to the type of the move it’s using.
169,fur-coat,Halves damage from physical moves.
170,magician,The Pokémon steals the held item of a Pokémon it hits with a move.
171,bulletproof,Protects the Pokémon from some ball and bomb moves.
172,competitive,Boosts the Sp. Atk stat when a stat is lowered.
173,strong-jaw,The Pokémon’s strong jaw gives it tremendous biting power.
174,refrigerate,Normal-type moves become Ice-type moves.
175,sweet-veil,Prevents itself and ally Pokémon from falling asleep.
176,stance-change,The Pokémon changes form depending on how it battles.
177,gale-wings,Gives priority to Flying-type moves.
178,mega-launcher,Powers up aura and pulse moves.
179,grass-pelt,Boosts the Defense stat in Grassy Terrain.
180,symbiosis,The Pokémon can pass an item to an ally.
181,tough-claws,Powers up moves that make direct contact.
182,pixilate,Normal-type moves become Fairy-type moves.
183,gooey,Contact with the Pokémon lowers the attacker’s Speed stat.
184,aerilate,Normal-type moves become Flying-type moves.
185,parental-bond,Parent and child attack together.
186,dark-aura,Powers up each Pokémon’s Dark-type moves.
187,fairy-aura,Powers up each Pokémon’s Fairy-type moves.
188,aura-break,The effects of “Aura” Abilities are reversed.
189,primordial-sea,Affects weather and nullifies any Fire-type attacks.
190,desolate-land,Affects weather and nullifies any Water-type attacks.
191,delta-stream,Affects weather and eliminates all of the Flying type’s weaknesses.
192,stamina,Boosts the Defense stat when hit by an attack.
193,wimp-out,The Pokémon cowardly switches out when its HP becomes half or less.
194,emergency-exit,"The Pokémon, sensing danger, switches out when its HP becomes half or less."
195,water-compaction,Boosts the Pokémon’s Defense stat sharply when hit by a Water-type move.
196,merciless,The Pokémon’s attacks become critical hits if the target is poisoned.
197,shields-down,"When its HP becomes half or less, the Pokémon’s shell breaks and it becomes aggressive."
198,stakeout,Doubles the damage dealt to the target’s replacement if the target switches out.
199,water-bubble,Lowers the power of Fire-type moves done to the Pokémon and prevents the Pokémon from getting a burn.
200,steelworker,Powers up Steel-type moves.
201,berserk,Boosts the Pokémon’s Sp. Atk stat when it takes a  hit that causes its HP to become half or less.
202,slush-rush,Boosts the Pokémon’s Speed stat in a hailstorm.
203,long-reach,The Pokémon uses its moves without making contact with the target.
204,liquid-voice,All sound-based moves become Water-type moves.
205,triage,Gives priority to a healing move.
206,galvanize,Normal-type moves become Electric-type moves. The power of those moves is boosted a little.
207,surge-surfer,Doubles the Pokémon’s Speed stat on Electric Terrain.
208,schooling,"When it has a lot of HP, the Pokémon forms a powerful school. It stops schooling when its HP is low."
209,disguise,"Once per battle, the shroud that covers the Pokémon can protect it from an attack."
210,battle-bond,"Defeating an opposing Pokémon strengthens the Pokémon’s bond with its Trainer, and it becomes Ash-Greninja. Water Shuriken gets more powerful."
211,power-construct,Other Cells gather to aid when its HP becomes half or less. Then the Pokémon changes its form to Complete Forme.
212,corrosion,The Pokémon can poison the target even if it’s a Steel or Poison type.
213,comatose,It’s always drowsing and will never wake up. It can attack without waking up.
214,queenly-majesty,"Its majesty pressures the opposing Pokémon, making it unable to attack using priority moves."
215,innards-out,Damages the attacker landing the finishing hit by the amount equal to its last HP.
216,dancer,"When another Pokémon uses a dance move, it can use a dance move following it regardless of its Speed."
217,battery,Powers up ally Pokémon’s special moves.
218,fluffy,"Halves the damage taken from moves that make direct contact, but doubles that of Fire-type moves."
219,dazzling,"Surprises the opposing Pokémon, making it unable to attack using priority moves."
220,soul-heart,Boosts its Sp. Atk stat every time a Pokémon faints.
221,tangling-hair,Contact with the Pokémon lowers the attacker’s Speed stat.
222,receiver,The Pokémon copies the Ability of a defeated ally.
223,power-of-alchemy,The Pokémon copies the Ability of a defeated ally.
224,beast-boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.
225,rks-system,Changes the Pokémon’s type to match the memory disc it holds.
226,electric-surge,Turns the ground into Electric Terrain when the Pokémon enters a battle.
227,psychic-surge,Turns the ground into Psychic Terrain when the Pokémon enters a battle.
228,misty-surge,Turns the ground into Misty Terrain when the Pokémon enters a battle.
229,grassy-surge,Turns the ground into Grassy Terrain when the Pokémon enters a battle.
230,full-metal-body,Prevents other Pokémon’s moves or Abilities from lowering the Pokémon’s stats.
231,shadow-shield,Reduces the amount of damage the Pokémon takes while its HP is full.
232,prism-armor,Reduces the power of supereffective attacks taken.
233,neuroforce,Powers up moves that are super effective.
234,intrepid-sword,Boosts the Pokémon’s Attack stat when the Pokémon enters a battle.
235,dauntless-shield,Boosts the Pokémon’s Defense stat when the Pokémon enters a battle.
236,libero,Changes the Pokémon’s type to the type of the move it’s about to use.
237,ball-fetch,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle."
238,cotton-down,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself."
239,propeller-tail,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.
240,mirror-armor,Bounces back only the stat-lowering effects that the Pokémon receives.
241,gulp-missile,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack."
242,stalwart,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.
243,steam-engine,Boosts the Pokémon’s Speed stat drastically if hit by a Fire- or Water-type move.
244,punk-rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.
245,sand-spit,The Pokémon creates a sandstorm when it’s hit by an attack.
246,ice-scales,"The Pokémon is protected by ice scales, which halve the damage taken from special moves."
247,ripen,Ripens Berries and doubles their effect.
248,ice-face,"The Pokémon’s ice head can take a physical attack as a substitute, but the attack also changes the Pokémon’s appearance. The ice will be restored when it hails."
249,power-spot,Just being next to the Pokémon powers up moves.
250,mimicry,Changes the Pokémon’s type depending on the terrain.
251,screen-cleaner,"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon."
252,steely-spirit,Powers up ally Pokémon’s Steel-type moves.
253,perish-body,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle."
254,wandering-spirit,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.
255,gorilla-tactics,Boosts the Pokémon’s Attack stat but only allows the use of the first selected move.
256,neutralizing-gas,"If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon’s Abilities will be nullified or will not be triggered."
257,pastel-veil,Protects the Pokémon and its ally Pokémon from being poisoned.
258,hunger-switch,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of each turn."
259,quick-draw,Enables the Pokémon to move first occasionally.
260,unseen-fist,"If the Pokémon uses moves that make direct contact, it can attack the target even if the target protects itself."
261,curious-medicine,"When the Pokémon enters a battle, it scatters medicine from its shell, which removes all stat changes from allies."
262,transistor,Powers up Electric-type moves.
263,dragons-maw,Powers up Dragon-type moves.
264,chilling-neigh,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat."
265,grim-neigh,"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Sp. Atk stat."
266,as-one-glastrier,This Ability combines the effects of both Calyrex’s Unnerve Ability and Glastrier’s Chilling Neigh Ability.
267,as-one-spectrier,This Ability combines the effects of both Calyrex’s Unnerve Ability and Spectrier’s Grim Neigh Ability.
268,lingering-aroma,Contact with the Pokémon changes the attacker's Ability to Lingering Aroma.
269,seed-sower,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.
270,thermal-exchange,Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.
271,anger-shell,"When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats."
272,purifying-salt,The Pokémon's pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.
273,well-baked-body,"The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted."
274,wind-rider,Boosts the Pokémon's Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.
275,guard-dog,Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.
276,rocky-payload,Powers up Rock-type moves.
277,wind-power,"The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses."
278,zero-to-hero,The Pokémon transforms into its Hero Form when it switches out.
279,commander,"When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there."
280,electromorphosis,"The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses."
281,protosynthesis,Boosts the Pokémon's most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.
282,quark-drive,Boosts the Pokémon's most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.
283,good-as-gold,"A body of pure, solid gold gives the Pokémon full immunity to other Pokémon's status moves."
284,vessel-of-ruin,The power of the Pokémon's ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.
285,sword-of-ruin,The power of the Pokémon's ruinous sword lowers the Defense stats of all Pokémon except itself.
286,tablets-of-ruin,The power of the Pokémon's ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.
287,beads-of-ruin,The power of the Pokémon's ruinous beads lowers the Sp. Def stats of all Pokémon except itself.
288,orichalcum-pulse,Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.
289,hadron-engine,Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.
290,opportunist,"If an opponent's stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself."
291,cud-chew,"When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time."
292,sharpness,Powers up slicing moves.
293,supreme-overlord,"When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated."
294,costar,"When the Pokémon enters a battle, it copies an ally's stat changes."
295,toxic-debris,Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves.
296,armor-tail,The mysterious tail covering the Pokémon's head makes opponents unable to use priority moves against the Pokémon or its allies.
297,earth-eater,"If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage."
298,mycelium-might,"The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target."
299,minds-eye,"The Pokémon ignores changes to opponents' evasiveness, its accuracy can't be lowered, and it can hit Ghost types with Normal-type and Fighting-type moves"
300,supersweet-syrup,Lowers the evasion of opposing Pokémon by 1 stage when first sent into battle
301,hospitality,"When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP"
302,toxic-chain,The power of the Pokémon's toxic chain may badly poison any target the Pokémon hits with a move
303,embody-aspect,"The Pokémon's heart fills with memories, causing the Mask to shine and one of the Pokémon's stats to be boosted."
304,tera-shift,"When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form."
305,tera-shell,The Pokémon's shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective.
306,teraform-zero,"When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero."
307,poison-puppeteer,Pokémon poisoned by Pecharunt's moves will also become confused.
308,piercing-drill,"When the Pokémon uses contact moves, it can hit even targets that are protecting themselves, dealing 1/4 of the damage that the move would otherwise deal. Everything aside from the target's protective effects is still triggered."
309,dragonize,The Pokémon's Normal-type moves become Dragon-type moves and their power is boosted by 20%.
310,mega-sol,"Even when the sunlight has not turned harsh, the Pokémon can use its moves as if the weather were harsh sunlight."
311,spicy-spray,"When the Pokémon takes damage from a move, it burns the attacker."
10001,mountaineer,
10002,wave-rider,
10003,skater,
10004,thrust,
10005,perception,
10006,parry,
10007,instinct,
10008,dodge,
10009,jagged-edge,
10010,frostbite,
10011,tenacity,
10012,pride,
10013,deep-sleep,
10014,power-nap,
10015,spirit,
10016,warm-blanket,
10017,gulp,
10018,herbivore,
10019,sandpit,
10020,hot-blooded,
10021,medic,
10022,life-force,
10023,lunchbox,
10024,nurse,
10025,melee,
10026,sponge,
10027,bodyguard,
10028,hero,
10029,last-bastion,
10030,stealth,
10031,vanguard,
10032,nomad,
10033,sequence,
10034,grass-cloak,
10035,celebrate,
10036,lullaby,
10037,calming,
10038,daze,
10039,frighten,
10040,interference,
10041,mood-maker,
10042,confidence,
10043,fortune,
10044,bonanza,
10045,explode,
10046,omnipotent,
10047,share,
10048,black-hole,
10049,shadow-dash,
10050,sprint,
10051,disgust,
10052,high-rise,
10053,climber,
10054,flame-boost,
10055,aqua-boost,
10056,run-up,
10057,conqueror,
10058,shackle,
10059,decoy,
10060,shield,
